,acc,loss
0,0.3947586575807151,0.6842967112185592
1,0.6168492456613961,0.6505783741757021
2,0.7639619734327672,0.585260797153085
3,0.7832880573757625,0.5062956921124863
4,0.7887715226512845,0.39625191264233345
5,0.7905396800930217,0.3098110981916977
6,0.7927302994970548,0.26092595109495065
7,0.7940527194637363,0.235776790319863
8,0.7983553359064005,0.21407483609045966
9,0.8092110837920238,0.19955081737647623
10,0.8227020003027835,0.18685250297441322
11,0.8318304799370847,0.1786104712445857
12,0.8396574893240202,0.16836192885697898
13,0.8439868209725719,0.1597187243275723
14,0.8462674926903289,0.15202798878742477
15,0.8475102054870735,0.14662339293350607
16,0.8492094654147908,0.1385848992456824
17,0.8504085738780135,0.134718095751132
18,0.8516803284822885,0.12892908696400918
19,0.8531592670133559,0.12268501464593208
